PING 130.149.17.21 (130.149.17.21) 56(84) bytes of data.
64 bytes from 130.149.17.21: icmp_seq=253 ttl=43 time=272 ms
64 bytes from 130.149.17.21: icmp_seq=254 ttl=43 time=248 ms
64 bytes from 130.149.17.21: icmp_seq=255 ttl=43 time=198 ms
64 bytes from 130.149.17.21: icmp_seq=256 ttl=43 time=220 ms
64 bytes from 130.149.17.21: icmp_seq=257 ttl=43 time=205 ms
64 bytes from 130.149.17.21: icmp_seq=258 ttl=43 time=229 ms
64 bytes from 130.149.17.21: icmp_seq=259 ttl=43 time=366 ms
64 bytes from 130.149.17.21: icmp_seq=260 ttl=43 time=317 ms
64 bytes from 130.149.17.21: icmp_seq=261 ttl=43 time=176 ms
64 bytes from 130.149.17.21: icmp_seq=262 ttl=43 time=304 ms
64 bytes from 130.149.17.21: icmp_seq=263 ttl=43 time=341 ms
64 bytes from 130.149.17.21: icmp_seq=264 ttl=43 time=280 ms
64 bytes from 130.149.17.21: icmp_seq=265 ttl=43 time=193 ms
64 bytes from 130.149.17.21: icmp_seq=266 ttl=43 time=206 ms
64 bytes from 130.149.17.21: icmp_seq=267 ttl=43 time=242 ms
64 bytes from 130.149.17.21: icmp_seq=268 ttl=43 time=323 ms
64 bytes from 130.149.17.21: icmp_seq=269 ttl=43 time=176 ms
64 bytes from 130.149.17.21: icmp_seq=270 ttl=43 time=221 ms
64 bytes from 130.149.17.21: icmp_seq=271 ttl=43 time=295 ms
64 bytes from 130.149.17.21: icmp_seq=272 ttl=43 time=345 ms
64 bytes from 130.149.17.21: icmp_seq=273 ttl=43 time=313 ms
64 bytes from 130.149.17.21: icmp_seq=274 ttl=43 time=379 ms
64 bytes from 130.149.17.21: icmp_seq=275 ttl=43 time=384 ms
64 bytes from 130.149.17.21: icmp_seq=276 ttl=43 time=305 ms
64 bytes from 130.149.17.21: icmp_seq=277 ttl=43 time=364 ms
64 bytes from 130.149.17.21: icmp_seq=278 ttl=43 time=353 ms
64 bytes from 130.149.17.21: icmp_seq=279 ttl=43 time=303 ms
64 bytes from 130.149.17.21: icmp_seq=280 ttl=43 time=196 ms
64 bytes from 130.149.17.21: icmp_seq=281 ttl=43 time=261 ms
64 bytes from 130.149.17.21: icmp_seq=282 ttl=43 time=243 ms
64 bytes from 130.149.17.21: icmp_seq=283 ttl=43 time=192 ms
64 bytes from 130.149.17.21: icmp_seq=284 ttl=43 time=204 ms
64 bytes from 130.149.17.21: icmp_seq=285 ttl=43 time=212 ms
64 bytes from 130.149.17.21: icmp_seq=286 ttl=43 time=362 ms
64 bytes from 130.149.17.21: icmp_seq=287 ttl=43 time=298 ms
64 bytes from 130.149.17.21: icmp_seq=288 ttl=43 time=384 ms
64 bytes from 130.149.17.21: icmp_seq=289 ttl=43 time=408 ms
64 bytes from 130.149.17.21: icmp_seq=290 ttl=43 time=225 ms
64 bytes from 130.149.17.21: icmp_seq=291 ttl=43 time=251 ms
64 bytes from 130.149.17.21: icmp_seq=292 ttl=43 time=273 ms
64 bytes from 130.149.17.21: icmp_seq=293 ttl=43 time=258 ms
64 bytes from 130.149.17.21: icmp_seq=294 ttl=43 time=175 ms
64 bytes from 130.149.17.21: icmp_seq=295 ttl=43 time=264 ms
64 bytes from 130.149.17.21: icmp_seq=296 ttl=43 time=181 ms
64 bytes from 130.149.17.21: icmp_seq=297 ttl=43 time=192 ms
64 bytes from 130.149.17.21: icmp_seq=298 ttl=43 time=263 ms
64 bytes from 130.149.17.21: icmp_seq=299 ttl=43 time=212 ms
64 bytes from 130.149.17.21: icmp_seq=300 ttl=43 time=204 ms

--- 130.149.17.21 ping statistics ---
300 packets transmitted, 300 received, 0% packet loss, time 299165ms
rtt min/avg/max/mdev = 174.576/318.458/657.474/109.300 ms
